Date,Deposit,Withdrawal,Value
2023-12-02,550000,,6971117
2023-11-04,245800,,5830716
2023-09-29,636900,,4383888
2023-09-01,544500,,3547028
2023-08-18,90400,,2995507
2023-08-04,558000,,3205230
2023-06-29,,,2812788
2023-06-06,,,2500378
2023-05-05,,,2688744
2023-03-31,,,2610817
2023-03-03,195000,,2102338
2023-02-03,130000,,1964990
2022-12-29,194000,,1320684
2022-12-08,283591,,1180869
2022-11-07,,,1139251
2022-10-07,95600,,1102692
2022-09-05,240608,,1000818
2022-08-05,200200,,857604
2022-07-06,82310,,580980
2022-06-07,142112,,710850
2022-05-09,122564,,605554
2022-05-09,64000,,485643
2022-05-05,,,521142
2022-04-09,,,544369
2022-03-07,,,491130
2022-02-08,,,528969
2022-01-22,100000,,437563
2022-01-12,,,410066
2021-12-25,5000,,483040
2021-12-24,7500,,479501
2021-12-13,20000,,440439
2021-11-19,,,513242
2021-11-01,116000,,527121
2021-10-24,60000,,433300
2021-09-20,80000,,250100
2021-06-28,12400,,131100
2021-06-02,21400,,126329
2021-05-24,26749,,108679
2021-05-19,25000,,92197
2021-05-03,21500,,102304
2021-04-06,7275,,59449
2021-03-09,48148,,48028
