Date,Deposit,Withdrawal,Value
2023-12-02,,,79411
2023-11-04,,,76399
2023-09-29,,,77402
2023-09-01,,,78662
2023-08-04,,,78511
2023-06-29,5000,,76840
2023-06-06,5319,,71766
2023-05-05,7216,,62745
2023-03-31,7949,,55591
2023-03-03,5036,,48151
2023-02-03,1989,,43794
2022-12-29,5542,,39628
2022-12-08,1785,,35525
2022-11-07,,,33093
2022-10-07,5602,,33079
2022-09-05,3595,,28615
2022-08-05,3456,,25456
2022-07-06,,,20281
2022-06-07,3053,,21285
2022-05-10,5278,,18193
2022-05-05,,,13231
2022-04-09,,,13646
2022-03-07,,,13235
2022-02-08,,,13505
2022-01-12,,,14123
2021-12-13,,,14303
2021-11-19,,,14480
2021-10-19,,,13707
2021-09-20,12253,,13504
