Date,Deposit,Withdrawal,Value
2023-12-02,,157098,633788
2023-11-04,,,763994
2023-09-29,,,774027
2023-09-01,,,786626
2023-08-04,,,785110
2023-06-29,50000,,768405
2023-06-06,53195,,717665
2023-05-05,72160,,627459
2023-03-31,79490,,555917
2023-03-03,50360,,481514
2023-02-03,19890,,437948
2022-12-29,55421,,396288
2022-12-08,17852,,355256
2022-11-07,,,330930
2022-10-07,56020,,330794
2022-09-05,35950,,286154
2022-08-05,34560,,254562
2022-07-06,,,202818
2022-06-07,30530,,212858
2022-05-10,52780,,181933
2022-05-05,,,132313
2022-04-09,,,136463
2022-03-07,,,132351
2022-02-08,,,135059
2022-01-12,,,141233
2021-12-13,,,143030
2021-11-19,,,144806
2021-10-19,,,137077
2021-09-20,122537,,135044
